title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 5,radio,F1 Bab 5,A,B,C,D,C,Inovasi/Picture51.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasi/Picture52.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasi/Picture53.png
,radio,F1 Bab 5,A,B,C,D,B,Inovasi/Picture54.png
,radio,F1 Bab 5,A,B,C,D,C,Inovasi/Picture55.png
,radio,F1 Bab 5,A,B,C,D,C,Inovasi/Picture56.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasi/Picture57.png
,radio,F1 Bab 5,A,B,C,D,A,Inovasi/Picture58.png
,radio,F1 Bab 5,A,B,C,D,A,Inovasi/Picture59.png
,radio,F1 Bab 5,A,B,C,D,C,Inovasi/Picture60.png
,radio,F1 Bab 5,A,B,C,D,B,Inovasi/Picture61.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasi/Picture62.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasi/Picture63.png
,radio,F1 Bab 5,A,B,C,D,B,Inovasi/Picture64.png
,radio,F1 Bab 5,A,B,C,D,A,Inovasi/Picture65.png
