title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Kertas Model UASA,radio,F1 Bab 1,A,B,C,D,B,Inovasiuasa/Picture1.png
,radio,F1 Bab 1,A,B,C,D,D,Inovasiuasa/Picture2.png
,radio,F1 Bab 1,A,B,C,D,B,Inovasiuasa/Picture3.png
,radio,F1 Bab 1,A,B,C,D,B,Inovasiuasa/Picture4.png
,radio,F1 Bab 2,A,B,C,D,D,Inovasiuasa/Picture5.png
,radio,F1 Bab 3,A,B,C,D,D,Inovasiuasa/Picture6.png
,radio,F1 Bab 3,A,B,C,D,D,Inovasiuasa/Picture7.png
,radio,F1 Bab 4,A,B,C,D,A,Inovasiuasa/Picture8.png
,radio,F1 Bab 4,A,B,C,D,A,Inovasiuasa/Picture9.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasiuasa/Picture10.png
,radio,F1 Bab 5,A,B,C,D,D,Inovasiuasa/Picture11.png
,radio,F1 Bab 6,A,B,C,D,C,Inovasiuasa/Picture12.png
,radio,F1 Bab 6,A,B,C,D,C,Inovasiuasa/Picture13.png
,radio,F1 Bab 7,A,B,C,D,B,Inovasiuasa/Picture14.png
,radio,F1 Bab 7,A,B,C,D,A,Inovasiuasa/Picture15.png
,radio,F1 Bab 8,A,B,C,D,B,Inovasiuasa/Picture16.png
,radio,F1 Bab 8,A,B,C,D,D,Inovasiuasa/Picture17.png
,radio,F1 Bab 8,A,B,C,D,A,Inovasiuasa/Picture18.png
,radio,F1 Bab 8,A,B,C,D,A,Inovasiuasa/Picture19.png
,radio,F1 Bab 8,A,B,C,D,B,Inovasiuasa/Picture20.png
