title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T1 Bab 2,radio,F1 Bab 2,A,B,C,D,A,Galus/Picture11.png
,radio,F1 Bab 2,A,B,C,D,A,Galus/Picture12.png
,radio,F1 Bab 2,A,B,C,D,B,Galus/Picture13.png
,radio,F1 Bab 2,A,B,C,D,B,Galus/Picture14.png
,radio,F1 Bab 2,A,B,C,D,A,Galus/Picture15.png
,radio,F1 Bab 2,A,B,C,D,C,Galus/Picture16.png
,radio,F1 Bab 2,A,B,C,D,D,Galus/Picture17.png
,radio,F1 Bab 2,A,B,C,D,B,Galus/Picture18.png
,radio,F1 Bab 2,A,B,C,D,C,Galus/Picture19.png
,radio,F1 Bab 2,A,B,C,D,C,Galus/Picture20.png
